QJ_JobNumber,QJ_WorkCenter,StepNo,QJ_PartNumber,PartDescription,Make_Qty,QtyOpen,StartDate,EndDate,RawMatl,QtyToMake,MaterialPartNo,SQIperPiece
68778-12,LASER QUE,20,3A21933H01,"SST JACK PAD UNITS OVER 10,000 LBS",24,24,1/28/2026,1/28/2026,1/4'' X 60 X 120 - SST S304/S304L,350.46,S30425060120,14.6025
68782-12,LASER QUE,30,825.10804.001,"Support, Angle, 304 SS, 4"" x 4"" x 128.875""",1,1,2/2/2026,2/2/2026,1/4'' X 60 X 120 - SST S304/S304L,"1,134.10",S30425060120,1134.1
68782-19,LASER QUE,30,11464-01,"Support, Drop Pipe, Sway Brace, 304 SS, 6"", Range: 32.50""-35.50"" - Angle",10,10,1/29/2026,1/29/2026,1/4'' X 60 X 120 - SST S304/S304L,"2,751.76",S30425060120,275.176
68782-20,LASER QUE,30,11464-02,"Support, Drop Pipe, Sway Brace, 304 SS, 6"", Range: 32.50""-35.50"" - Brace",10,10,1/29/2026,1/29/2026,1/4'' X 60 X 120 - SST S304/S304L,"1,155.88",S30425060120,115.588
68782-13,LASER QUE,30,825.10804.WB1,"Wall Brace, 304 SS, 4"", for 0.375"" Hardware",2,2,2/2/2026,2/2/2026,1/4'' X 60 X 120 - SST S304/S304L,70.4,S30425060120,35.2
68802-01,LASER QUE,20,35802109,1-PC PANEL 108-132DL55 KNPLT .25 GR50 43.687 X 70.296 Crane Comp,4,4,1/8/2026,1/8/2026,1/4'' X 60 X 120 - PO CBN GR50,"13,512.49",C50PO25060120,3378.1235
68718-05,LASER QUE,20,3A49470H01,1.25 X 22.75 X .250 CARBON BRACE,65,65,1/9/2026,1/9/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,626.63",C50PO25060120,25.025
68746-05,LASER QUE,20,3A49471H01,1.25 X 24.75 X .250 CARBON BRACE,15,15,1/16/2026,1/16/2026,1/4'' X 60 X 120 - PO CBN GR50,408.38,C50PO25060120,27.225
68277-02,LASER QUE,10,1LUJ004910AACW,BOTTOM CORE CLAMP T=0.25 12.1894X48.8189,2,2,2/25/2026,2/25/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,309.16",C50PO25060120,654.5804
68277-03,LASER QUE,10,1LUJ004910AACW-2,BOTTOM CORE CLAMP T=0.25 12.1894X48.8189,2,2,2/25/2026,2/25/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,309.16",C50PO25060120,654.5804
68705-02,LASER QUE,10,1LUJ004517AACW,BOTTOM CORE CLAMP T=0.25 13.1225X57.0866,26,26,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"21,424.80",C50PO25060120,824.0308
68705-03,LASER QUE,10,1LUJ004517AACW-2,BOTTOM CORE CLAMP T=0.25 13.1225X57.0866,26,26,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"21,424.80",C50PO25060120,824.0308
68706-02,LASER QUE,10,1LUJ004563AACW,BOTTOM CORE CLAMP T=0.25 13.9178X64.7638,17,17,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"16,855.61",C50PO25060120,991.5066
68706-03,LASER QUE,10,1LUJ004563AACW-2,BOTTOM CORE CLAMP T=0.25 13.9178X64.7638,17,17,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"16,855.61",C50PO25060120,991.5066
68703-02,LASER QUE,10,1LUJ004281AACW,BOTTOM CORE CLAMP T=0.3125 14.6677X61.811,36,36,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"35,902.36",C50PO25060120,997.2877
68703-03,LASER QUE,10,1LUJ004281AACW-2,BOTTOM CORE CLAMP T=0.3125 14.6677X61.811,36,36,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"35,902.36",C50PO25060120,997.2877
68277-06,LASER QUE,10,1LUJ009019AAF,CLAMP FOOT T=0.25 5.5781X20.315,4,4,2/25/2026,2/25/2026,1/4'' X 60 X 120 - PO CBN GR50,498.6,C50PO25060120,124.651
68705-06,LASER QUE,10,1LUJ008788AAF,CLAMP FOOT T=0.25 5.5781X24.4488,52,52,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"7,800.81",C50PO25060120,150.0156
68703-06,LASER QUE,10,1LUJ008665AAF,CLAMP FOOT T=0.25 5.5781X26.5748,72,72,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"11,740.36",C50PO25060120,163.0606
68706-06,LASER QUE,10,1LUJ008814AAF,CLAMP FOOT T=0.25 5.5781X27.4409,34,34,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"5,724.75",C50PO25060120,168.3749
68683-01,LASER QUE,20,28C4125H01,Cooler Bank Brace 50.50 23.5  CL Spacing,106,106,1/9/2026,1/9/2026,1/4'' X 60 X 120 - PO CBN GR50,"10,389.06",C50PO25060120,98.01
68748-03,LASER QUE,20,28C4125H01,Cooler Bank Brace 50.50 23.5  CL Spacing,121,121,1/16/2026,1/16/2026,1/4'' X 60 X 120 - PO CBN GR50,"11,859.21",C50PO25060120,98.01
68277-04,LASER QUE,10,1LUJ012341AAC,CORE CLAMP T=0.25 12.1894X48.8189,2,2,2/25/2026,2/25/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,309.16",C50PO25060120,654.5804
68277-05,LASER QUE,10,1LUJ012341AAC-2,CORE CLAMP T=0.25 12.1894X48.8189,2,2,2/25/2026,2/25/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,309.16",C50PO25060120,654.5804
68705-04,LASER QUE,10,1LUJ011879AAC,CORE CLAMP T=0.25 13.1225X57.0866,26,26,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"21,424.80",C50PO25060120,824.0308
68705-05,LASER QUE,10,1LUJ011879AAC-2,CORE CLAMP T=0.25 13.1225X57.0866,26,26,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"21,424.80",C50PO25060120,824.0308
68706-04,LASER QUE,10,1LUJ011932AAC,CORE CLAMP T=0.25 13.9178X64.7638,17,17,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"16,855.61",C50PO25060120,991.5066
68706-05,LASER QUE,10,1LUJ011932AAC-2,CORE CLAMP T=0.25 13.9178X64.7638,17,17,1/21/2026,1/21/2026,1/4'' X 60 X 120 - PO CBN GR50,"16,855.61",C50PO25060120,991.5066
68703-04,LASER QUE,10,1LUJ011637AAC,CORE CLAMP T=0.3125 14.6677X61.811,36,36,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"35,902.36",C50PO25060120,997.2877
68703-05,LASER QUE,10,1LUJ011637AAC-2,CORE CLAMP T=0.3125 14.6677X61.811,36,36,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"35,902.36",C50PO25060120,997.2877
68787-02,LASER QUE,20,33941659,GUSSET HITCH .25X4X13 18K,14,14,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,800.8,C50PO25060120,57.2
68815-07,LASER QUE,20,33941659,GUSSET HITCH .25X4X13 18K,24,24,1/14/2026,1/14/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,372.80",C50PO25060120,57.2
68813-01,LASER QUE,20,34330604,GUSSET HITCH 4.25X21 19K TS20  .25 GR50 4.250 X 21.000,12,12,1/16/2026,1/16/2026,1/4'' X 60 X 120 - PO CBN GR50,589.05,C50PO25060120,49.0875
68772-03,LASER QUE,20,A4547P,Outrigger Cap Plate  2.50 x 3.00,40,40,1/19/2026,1/19/2026,1/4'' X 60 X 120 - PO CBN GR50,330,C50PO25060120,8.25
68463-27,LASER QUE,20,WH ANGLE STOP,Worm Hopper Angle Stop   3.75 x 1.75,4,4,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,28.88,C50PO25060120,7.2188
68463-38,LASER QUE,20,WH ARM ANGLE,Worm Hopper Arm Angle  1.75 x 5.88,4,4,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,45.28,C50PO25060120,11.319
68463-21,LASER QUE,20,WH BACK,Worm Hopper Back  50 x 31.98,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,758.90",C50PO25060120,1758.9
68463-13,LASER QUE,20,WH BACK ANGLE,Worm Hopper Back Angle  3.63 x 43.32,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,172.98,C50PO25060120,172.9768
68463-12,LASER QUE,20,WH BASE CHANNEL,Worm Hopper Base Channel  4.5 x 50.63,3,3,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,751.86,C50PO25060120,250.6185
68463-26,LASER QUE,20,WH CHANNEL STOP,Worm Hopper Channel Stop  4.5 x 49,4,4,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,970.2,C50PO25060120,242.55
68463-14,LASER QUE,20,WH CROSS ANGLE,Worm Hopper Cross Angle  3.5 x 43.32,2,2,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,333.56,C50PO25060120,166.782
68463-29,LASER QUE,20,WH GUIDE BRACKET,Worm Hopper Guide Bracket  8 x 21.04,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,185.15,C50PO25060120,185.152
68463-32,LASER QUE,20,WH GUIDE BRACKET,Worm Hopper Guide Bracket  8 x 21.04,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,185.15,C50PO25060120,185.152
68463-30,LASER QUE,20,WH GUIDE GUSSET,Worm Hopper Guide Gusset   8.53 x 18.04,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,169.27,C50PO25060120,169.2693
68463-33,LASER QUE,20,WH GUIDE GUSSET,Worm Hopper Guide Gusset   8.53 x 18.04,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,169.27,C50PO25060120,169.2693
68463-31,LASER QUE,20,WH GUIDE PLATE,Worm Hopper Guide Plate  8.9 x 6,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,58.74,C50PO25060120,58.74
68463-34,LASER QUE,20,WH GUIDE PLATE,Worm Hopper Guide Plate  8.9 x 6,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,58.74,C50PO25060120,58.74
68463-10,LASER QUE,20,WH LEFT BASE TRACK,Worm Hopper Left Base Track  60 x 16.29,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,075.14",C50PO25060120,1075.14
68463-18,LASER QUE,20,WH LEFT SIDE,Worm Hopper Left Side  34.48 x 32,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,213.70",C50PO25060120,1213.696
68463-24,LASER QUE,20,WH LOCK PLATE,Worm Hopper Lock Plate  4 x 3,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,13.2,C50PO25060120,13.2
68463-15,LASER QUE,20,WH PLATE,Worm Hopper Plate  4 x 19.55,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,86.02,C50PO25060120,86.02
68463-11,LASER QUE,20,WH RIGHT BASE TRACK,Worm Hopper Right Base Track  60 x 16.29,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,075.14",C50PO25060120,1075.14
68463-19,LASER QUE,20,WH RIGHT SIDE,Worm Hopper Right Side  34.48 x 32,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"1,213.70",C50PO25060120,1213.696
68463-20,LASER QUE,20,WH TRAY,Worm Hopper Tray  52 x 49.13,1,1,1/6/2026,1/6/2026,1/4'' X 60 X 120 - PO CBN GR50,"2,810.24",C50PO25060120,2810.236
68798-01,LASER QUE,20,34860605,DOOR FRAME CRANE COMPT BNSF538 .25 GR80 12.810 X 18.125,2,2,1/7/2026,1/7/2026,1/4'' X 60 X 120 - CBN GR80,510.8,C8025060120,255.3994
68638-06,LASER QUE,20,80035310,PLATE TOP HITCH 21K .25 GR80 7.534 X 8.000,32,32,2/12/2026,2/12/2026,1/4'' X 60 X 120 - CBN GR80,"2,121.57",C8025060120,66.2992
68729-04,LASER QUE,20,80035310,PLATE TOP HITCH 21K .25 GR80 7.534 X 8.000,16,16,1/15/2026,1/15/2026,1/4'' X 60 X 120 - CBN GR80,"1,060.79",C8025060120,66.2992
68804-01,LASER QUE,20,34859085,"PLATE, BOOM REST SUPPORT 14 X 24 .25 GR80 14.100 X 23.760",2,2,1/9/2026,1/9/2026,1/4'' X 60 X 120 - CBN GR80,737.04,C8025060120,368.5176
68815-05,LASER QUE,20,12014210,TOP PLATE UB HITCH 18K  .25 GR80 6.000 X 6.500,12,12,1/14/2026,1/14/2026,1/4'' X 60 X 120 - CBN GR80,514.8,C8025060120,42.9
68797-01,LASER QUE,20,35832468,"PANEL,CRANE COMP DLR-55K 52H  51.688 X 70.297",1,1,1/7/2026,1/7/2026,1/4'' X 60 X 120 - CBN GR50,"3,996.86",C5025060120,3996.862
68803-03,LASER QUE,20,20066190,"SPACER .25 X 2.88 X 5.0 GM56CA  5"" X 2.88""",4,4,1/8/2026,1/8/2026,1/4'' X 60 X 120 - CBN GR50,63.25,C5025060120,15.8125
68815-02,LASER QUE,20,33941547,SHEAR PLATE COMBO UNIV 18K  .50 GR80 15.250 X 20.680,24,24,1/14/2026,1/14/2026,1/2'' X 60 X 120 - CBN GR80,"8,325.60",C8050060120,346.9
68802-04,LASER QUE,20,20081210-1400,"PLATE TOP CRK 20.0  .50 GR50 18.25"" X 26.25""",11,11,1/6/2026,1/6/2026,1/2'' X 60 X 120 - CBN GR50,"5,796.66",C5050060120,526.9687
68805-04,LASER QUE,20,20081210-1390,"PLATE TOP CRK 20.0  .50 GR50 18.25"" X 26.25""",10,10,1/8/2026,1/8/2026,1/2'' X 60 X 120 - CBN GR50,"5,269.69",C5050060120,526.9687
68813-07,LASER QUE,20,20082270-2300,PLATE TOP CRK STELLAR 20.0  .50 GR50 18.25 X 26.25,10,10,1/15/2026,1/15/2026,1/2'' X 60 X 120 - CBN GR50,"5,269.69",C5050060120,526.9687
68813-08,LASER QUE,20,20082270-2290,PLATE TOP CRK STELLAR 20.0  .50 GR50 18.25 X 26.25,7,7,1/15/2026,1/15/2026,1/2'' X 60 X 120 - CBN GR50,"3,688.78",C5050060120,526.9687
68794-01,LASER QUE,20,36624109,"Plate, Rail Rack Top  6.25 x 12.00",4,4,1/8/2026,1/8/2026,1/2'' X 60 X 120 - CBN GR50,330,C5050060120,82.5
68747-14,LASER QUE,20,11686-P11,Plate P11   16.00 x 16.00,12,12,1/2/2026,1/2/2026,1'' X 60 X 120 - CBN GR50,"3,379.20",C501060120,281.6
68747-15,LASER QUE,20,11686-P29,Plate P29   16.00 x 16.00,2,2,1/2/2026,1/2/2026,1'' X 60 X 120 - CBN GR50,563.2,C501060120,281.6
68772-01,LASER QUE,20,90-013P,Spindle Standoff  3.00 x 6.00,20,20,1/19/2026,1/19/2026,1'' X 60 X 120 - CBN A36,396,C361060120,19.8
68747-16,LASER QUE,20,11686-P67,Plate P67  20.00 x 20.00,2,2,1/2/2026,1/2/2026,1-1/4 X 60 X 120 - CBN C50,880,C50125060120,440
68416-06,LASER QUE,30,CONTAINMENT PAN STENCIL,30C9073H01 - CONTAINMENT PAN STENCIL,2,2,2/2/2026,2/2/2026,,0,,0
68585-01,LASER QUE,10,NITROGEN BOOSTER FILTERS-NEO,CHANGE NITROGEN BOOSTER FILTERS ON OPTIPLEX 3015 NEO #332843 - PM SEMI-ANNUAL,1,1,1/8/2026,1/8/2026,,0,,0
68548-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,1/8/2026,1/8/2026,,0,,0
68549-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,1/15/2026,1/15/2026,,0,,0
68550-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,1/22/2026,1/22/2026,,0,,0
68551-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,1/29/2026,1/29/2026,,0,,0
68552-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,2/5/2026,2/5/2026,,0,,0
68553-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,2/12/2026,2/12/2026,,0,,0
68554-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,2/19/2026,2/19/2026,,0,,0
68555-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,2/26/2026,2/26/2026,,0,,0
68556-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,3/5/2026,3/5/2026,,0,,0
68557-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,3/12/2026,3/12/2026,,0,,0
68558-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,3/19/2026,3/19/2026,,0,,0
68559-11,LASER QUE,10,ISNZ 2 HP,ISNZ #2 HP MAINTENANCE (NEO) - PM WEEKLY,1,1,3/26/2026,3/26/2026,,0,,0
68549-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,1/15/2026,1/15/2026,,0,,0
68550-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,1/22/2026,1/22/2026,,0,,0
68551-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,1/29/2026,1/29/2026,,0,,0
68552-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,2/5/2026,2/5/2026,,0,,0
68553-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,2/12/2026,2/12/2026,,0,,0
68554-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,2/19/2026,2/19/2026,,0,,0
68555-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,2/26/2026,2/26/2026,,0,,0
68556-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,3/5/2026,3/5/2026,,0,,0
68557-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,3/12/2026,3/12/2026,,0,,0
68558-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,3/19/2026,3/19/2026,,0,,0
68559-08,LASER QUE,10,KAISER 30 HP,KAISER 30 HP MAINTENANCE - PM WEEKLY  (SERIAL#2245-9011832),1,1,3/26/2026,3/26/2026,,0,,0
68574-01,LASER QUE,10,REMMERT AUTO - PM MONTHLY,REMMERT AUTOMATION - PM MONTHLY,1,1,1/8/2026,1/8/2026,,0,,0
68574-02,LASER QUE,10,REMMERT AUTO - PM MONTHLY,REMMERT AUTOMATION - PM MONTHLY,1,1,2/12/2026,2/12/2026,,0,,0
68574-03,LASER QUE,10,REMMERT AUTO - PM MONTHLY,REMMERT AUTOMATION - PM MONTHLY,1,1,3/12/2026,3/12/2026,,0,,0
68584-01,LASER QUE,10,REMMERT AUTO - PM QUARTERLY,REMMERT AUTOMATION - PM QUARTERLY,1,1,1/29/2026,1/29/2026,,0,,0
