Customer,Part Number,Material Type,Thickness (mm),Order Qty,Due Date,Past Due,Special Finish,Project ID
Acme Corp,SM-1001A,Stainless Steel 304,1.5,500,2/15/2026,FALSE,Brushed,PRJ-9876
Beta LLC,SM-205B,Aluminum 6061,3,1200,1/20/2026,TRUE,Anodized Black,PRJ-1122
Gamma Inc,HP-31C,Mild Steel A36,5,350,3/1/2026,FALSE,Powder Coat Red,PRJ-3344
Delta Group,RF-044D,Copper C11000,0.8,2500,12/10/2025,TRUE,None,PRJ-5566
Epsilon Inc,SM-800F,Stainless Steel 316,2,750,2/28/2026,FALSE,Polished,PRJ-7788
Zeta Prod,XB-112G,Galvanized Steel,1,1800,1/14/2026,TRUE,None,PRJ-0011
Theta Corp,PT-501H,Aluminum 5052,4,900,3/15/2026,FALSE,Clear Coat,PRJ-2233
Iota Labs,SM-999I,Mild Steel A36,6,150,1/5/2026,TRUE,None,PRJ-4455
Acme Corp,SM-1050B,Mild Steel A36,3,800,2/25/2026,FALSE,None,PRJ-1001
Beta LLC,SM-310C,Stainless Steel 304,1,450,3/5/2026,FALSE,None,PRJ-1123
Gamma Inc,HP-55D,Aluminum 6061,2.5,600,1/18/2026,TRUE,Anodized Blue,PRJ-3345
Delta Group,RF-088E,Stainless Steel 316,1.5,300,4/1/2026,FALSE,Brushed,PRJ-5567
Epsilon Inc,SM-801G,Aluminum 5052,0.5,5000,1/10/2026,TRUE,None,PRJ-7789
Zeta Prod,XB-200H,Mild Steel A36,4,1100,3/20/2026,FALSE,Powder Coat Black,PRJ-0012
Theta Corp,PT-510I,Copper C11000,1.2,700,1/1/2026,TRUE,None,PRJ-2234
Iota Labs,SM-990J,Galvanized Steel,2,2200,2/10/2026,FALSE,None,PRJ-4456
Acme Corp,AC-001K,Stainless Steel 304,2.5,300,3/10/2026,FALSE,Polished,PRJ-1002
Beta LLC,AC-002L,Mild Steel A36,6,200,1/8/2026,TRUE,None,PRJ-1124
Gamma Inc,AC-003M,Aluminum 6061,1,1500,2/1/2026,TRUE,Clear Coat,PRJ-3346
Delta Group,AC-004N,Stainless Steel 316,3,950,4/15/2026,FALSE,None,PRJ-5568
Epsilon Inc,AC-005P,Mild Steel A36,1.5,1000,3/25/2026,FALSE,Powder Coat Gray,PRJ-7790
Zeta Prod,AC-006Q,Copper C11000,0.5,4000,12/20/2025,TRUE,None,PRJ-0013
Theta Corp,AC-007R,Galvanized Steel,3,650,1/28/2026,TRUE,None,PRJ-2235
Iota Labs,AC-008S,Aluminum 5052,2,850,3/8/2026,FALSE,Anodized Red,PRJ-4457
Acme Corp,AC-009T,Mild Steel A36,5,100,1/1/2026,TRUE,None,PRJ-1003
Beta LLC,AC-010U,Stainless Steel 304,4,550,4/5/2026,FALSE,None,PRJ-1125
Gamma Inc,AC-011V,Mild Steel A36,2,1300,2/12/2026,FALSE,None,PRJ-3347
Delta Group,AC-012W,Aluminum 6061,1.8,2000,1/16/2026,TRUE,Brushed,PRJ-5569
Epsilon Inc,AC-013X,Stainless Steel 316,0.8,3500,3/30/2026,FALSE,Polished,PRJ-7791
Zeta Prod,AC-014Y,Aluminum 5052,3.5,400,1/25/2026,TRUE,Clear Coat,PRJ-0014
Theta Corp,AC-015Z,Mild Steel A36,1,1700,4/10/2026,FALSE,Powder Coat Yellow,PRJ-2236
Iota Labs,AC-016AA,Copper C11000,1,900,11/30/2025,TRUE,None,PRJ-4458
Acme Corp,SM-200A,Galvanized Steel,0.5,6000,2/5/2026,FALSE,None,PRJ-1004
Beta LLC,SM-350B,Aluminum 6061,5,250,3/22/2026,FALSE,Anodized Black,PRJ-1126
Gamma Inc,HP-88C,Stainless Steel 304,1,1100,1/3/2026,TRUE,None,PRJ-3348
Delta Group,RF-100D,Mild Steel A36,3,750,4/20/2026,FALSE,None,PRJ-5570
Epsilon Inc,SM-900F,Copper C11000,2,450,1/12/2026,TRUE,None,PRJ-7792
Zeta Prod,XB-300G,Stainless Steel 316,1.5,2000,3/5/2026,FALSE,Brushed,PRJ-0015
Theta Corp,PT-600H,Aluminum 5052,0.8,3000,1/31/2026,TRUE,Polished,PRJ-2237
Iota Labs,SM-1100I,Mild Steel A36,4,500,4/25/2026,FALSE,Powder Coat Green,PRJ-4459
Acme Corp,AC-017J,Aluminum 6061,2,1500,1/15/2026,TRUE,Clear Coat,PRJ-1005
Beta LLC,AC-018K,Stainless Steel 316,2.5,600,4/1/2026,FALSE,None,PRJ-1127
Gamma Inc,AC-019L,Mild Steel A36,1.2,2500,2/20/2026,FALSE,None,PRJ-3349
Delta Group,AC-020M,Galvanized Steel,1.5,1000,1/7/2026,TRUE,None,PRJ-5571
Epsilon Inc,AC-021N,Stainless Steel 304,3.5,400,3/12/2026,FALSE,Polished,PRJ-7793
Zeta Prod,AC-022P,Aluminum 5052,5,200,2/8/2026,TRUE,Anodized Silver,PRJ-0016
Theta Corp,AC-023Q,Copper C11000,0.6,5500,4/5/2026,FALSE,None,PRJ-2238
Iota Labs,AC-024R,Stainless Steel 316,1,1200,1/22/2026,TRUE,Brushed,PRJ-4460
Acme Corp,AC-025S,Mild Steel A36,6,150,3/5/2026,FALSE,None,PRJ-1006
Beta LLC,AC-026T,Galvanized Steel,2.5,900,2/28/2026,FALSE,Powder Coat Blue,PRJ-1128